sample_id,variety,region,quality_score,quality_category,ripeness_index,ripeness_category,sugar_content_brix,firmness_kgf,length_cm
1,Plantain,Honduras,1.15,Good,5.54,Overripe,17.06,4.12,14.76
2,Plantain,India,2.87,Processing,6.14,Overripe,21.9,1.44,21.62
3,Manzano,Colombia,3.15,Good,7.0,Turning,20.34,4.84,26.83
4,Red Dacca,Guatemala,1.4,Processing,4.24,Turning,15.59,3.03,16.03
5,Manzano,India,1.84,Unripe,6.39,Green,15.72,4.43,26.28
6,Burro,Colombia,3.22,Good,2.16,Overripe,16.81,3.13,27.93
7,Manzano,Brazil,3.09,Premium,6.22,Green,16.99,4.29,15.11
8,Manzano,Costa Rica,1.41,Processing,1.97,Overripe,18.31,3.14,28.93
9,Burro,Ecuador,2.54,Unripe,3.31,Turning,23.83,2.97,13.78
10,Burro,Guatemala,1.69,Processing,1.66,Ripe,23.55,1.27,23.26
11,Manzano,Costa Rica,1.23,Premium,1.22,Green,23.49,4.78,10.99
12,Burro,Guatemala,2.19,Premium,6.58,Green,18.81,3.38,14.59
13,Red Dacca,Brazil,1.12,Processing,2.62,Ripe,24.9,3.02,27.58
14,Fehi,Honduras,3.36,Processing,1.14,Green,16.66,3.08,11.55
15,Manzano,Ecuador,1.81,Good,4.38,Ripe,18.6,2.15,23.26
16,Red Dacca,India,1.15,Premium,5.27,Ripe,15.37,2.78,20.65
17,Fehi,Honduras,2.81,Good,6.09,Overripe,19.42,4.27,20.07
18,Fehi,Ecuador,1.13,Processing,3.54,Turning,21.42,2.65,14.55
19,Burro,Guatemala,2.52,Premium,5.5,Green,19.96,1.78,24.6
20,Fehi,Guatemala,2.07,Processing,5.88,Turning,23.89,1.18,16.17
21,Red Dacca,Guatemala,2.82,Processing,5.64,Ripe,22.03,4.21,16.98
22,Red Dacca,India,1.54,Good,2.91,Turning,16.95,3.91,24.92
23,Red Dacca,Costa Rica,2.79,Premium,4.43,Turning,22.65,4.28,20.13
24,Red Dacca,Brazil,2.25,Good,6.84,Turning,15.04,1.59,20.78
25,Fehi,Colombia,3.96,Processing,6.44,Overripe,16.68,1.37,25.08
